chirp,to make a shop  sharp cheerful as of small birds or crickets . ,to make a short sound with a high pitch .  
chirp,to make a shop  sharp cheerful as of small birds or crickets . ,to make a short sound with a high pitch .  
chisel,to cut  pare gouge or engrave with a chisel ;  as to chisel a block of marble into a statue . ,a metal tool with a sharp edge  .   used for cutting stone  .   wood  .   or metal .  
chisel,to cut  pare gouge or engrave with a chisel ;  as to chisel a block of marble into a statue . ,a metal tool with a sharp edge  .   used for cutting stone  .   wood  .   or metal .  
chivalry,a body or order of cavaliers or knights serving on horseback ,the qualities expected of an ideal knight during the middle ages in europe .  these included courage  .   honor  .   politeness  .   and being prepared to help those in need . 
chivalry,a body or order of cavaliers or knights serving on horseback ,the qualities expected of an ideal knight during the middle ages in europe .  these included courage  .   honor  .   politeness  .   and being prepared to help those in need . 
chlorine,one of the elementary substances  commonly isolated as a greenish yellow gas two and one half times as heavy as air of an intensely disagreeable suffocating odor and exceedingly poisonous .  it is abundant in nature the most important compound being common salt .  it is powerful oxidizing bleaching and disinfecting agent .  symbol cl .  atomic weight  .  . ,a substance that is one of the chemical elements .  it combines with sodium to form table salt .  it is also used in making bleach .  chlorine is poisonous in its pure gas form .  
chlorine,one of the elementary substances  commonly isolated as a greenish yellow gas two and one half times as heavy as air of an intensely disagreeable suffocating odor and exceedingly poisonous .  it is abundant in nature the most important compound being common salt .  it is powerful oxidizing bleaching and disinfecting agent .  symbol cl .  atomic weight  .  . ,a substance that is one of the chemical elements .  it combines with sodium to form table salt .  it is also used in making bleach .  chlorine is poisonous in its pure gas form .  
chlorine,one of the elementary substances  commonly isolated as a greenish yellow gas two and one half times as heavy as air of an intensely disagreeable suffocating odor and exceedingly poisonous .  it is abundant in nature the most important compound being common salt .  it is powerful oxidizing bleaching and disinfecting agent .  symbol cl .  atomic weight  .  . ,a substance that is one of the chemical elements .  it combines with sodium to form table salt .  it is also used in making bleach .  chlorine is poisonous in its pure gas form .  
chlorine,one of the elementary substances  commonly isolated as a greenish yellow gas two and one half times as heavy as air of an intensely disagreeable suffocating odor and exceedingly poisonous .  it is abundant in nature the most important compound being common salt .  it is powerful oxidizing bleaching and disinfecting agent .  symbol cl .  atomic weight  .  . ,a substance that is one of the chemical elements .  it combines with sodium to form table salt .  it is also used in making bleach .  chlorine is poisonous in its pure gas form .  
chlorophyll,literally  leaf green ;  a green granular matter formed in the cells of the leaves  of plants to which they owe their green color and through which all ordinary assimilation of plant food takes place .  similar chlorophyll granules have been found in the tissues of the lower animals . ,the green matter in the leaves and stems of plants that is necessary to produce food for plants from sunlight . 
chlorophyll,literally  leaf green ;  a green granular matter formed in the cells of the leaves  of plants to which they owe their green color and through which all ordinary assimilation of plant food takes place .  similar chlorophyll granules have been found in the tissues of the lower animals . ,the green matter in the leaves and stems of plants that is necessary to produce food for plants from sunlight . 
chocolate,the beverage made by dissolving a portion of the paste or cake in boiling water or milk . ,a food substance that is made from ground cacao seeds .  chocolate is not sweet  .   but it is often used in candy and other sweet foods .  it is also used in making certain kinds of sauces .  
chocolate,the beverage made by dissolving a portion of the paste or cake in boiling water or milk . ,a food substance that is made from ground cacao seeds .  chocolate is not sweet  .   but it is often used in candy and other sweet foods .  it is also used in making certain kinds of sauces .  
choice,act of choosing ;  the voluntary act of selecting or separating from two or more things that which is preferred ;  the determination of the mind in preferring one thing to another ;  election . ,  selection .  
choice,act of choosing ;  the voluntary act of selecting or separating from two or more things that which is preferred ;  the determination of the mind in preferring one thing to another ;  election . ,the act of picking or choosing 
choice,act of choosing ;  the voluntary act of selecting or separating from two or more things that which is preferred ;  the determination of the mind in preferring one thing to another ;  election . ,the act of picking or choosing ;  selection .  
choir,a band or organized company of singers  especially in church service . ,  chorus . 
choir,a band or organized company of singers  especially in church service . ,a group of people who sing together  .   especially a group that sings religious music 
choir,a band or organized company of singers  especially in church service . ,a group of people who sing together  .   especially a group that sings religious music ;  chorus . 
choke,to hinder or check  as growth expansion progress etc .  ;  to stifle . ,to stop or prevent the breathing of by squeezing or blocking the windpipe .  
choke,to hinder or check  as growth expansion progress etc .  ;  to stifle . ,to stop or prevent the breathing of by squeezing or blocking the windpipe .  
choose,to do otherwise . ,to pick one or more from a group .  
choose,to do otherwise . ,to pick one or more from a group .  
chop,a piece chopped off ;  a slice or small piece  especially of meat ;  as a mutton chop . ,to cut by hitting many times with a very sharp tool .  
chop,a piece chopped off ;  a slice or small piece  especially of meat ;  as a mutton chop . ,to cut by hitting many times with a very sharp tool .  
chopstick,one of two small sticks of wood  ivory etc .  used by the chinese and japanese to convey food to the mouth . ,one of a pair of thin sticks used for eating  .   especially in east asian countries . 
chopstick,one of two small sticks of wood  ivory etc .  used by the chinese and japanese to convey food to the mouth . ,one of a pair of thin sticks used for eating  .   especially in east asian countries . 
chord,  to harmonize together ,three or more musical notes played at the same time . 
chord,  to harmonize together ,a line that connects two points on a circle . 
chord,  to harmonize together ,a line that connects two points on a circle . 
chord,  to harmonize together ,three or more musical notes played at the same time . 
chore,  in the pl .   the regular or daily light work of a household or farm either within or without doors . ,a routine task around the house or yard .  
chore,  in the pl .   the regular or daily light work of a household or farm either within or without doors . ,a routine task around the house or yard .  
chorus,an interpreter in a dumb show or play . ,a group of people who sing together .  
chorus,an interpreter in a dumb show or play . ,a group of people who sing together .  
chose,of choose,past tense of choose . 
chose,of choose,past tense of choose . 
chosen,  picked out ,past participle of choose . 
chosen,  picked out ,past participle of choose . 
chowder,a seller of fish . ,a thick soup in which clams  .   fish  .   or corn are added to potatoes and onions in a milk or tomato base . 
chowder,a seller of fish . ,a thick soup in which clams  .   fish  .   or corn are added to potatoes and onions in a milk or tomato base . 
christ,the anointed ;  an appellation given to jesus  the savior .  it is synonymous with the hebrew messiah . ,see jesus christ . 
christ,the anointed ;  an appellation given to jesus  the savior .  it is synonymous with the hebrew messiah . ,see jesus christ . 
christen,to christianize . ,to give a name to at baptism .  
christen,to christianize . ,to give a name to at baptism .  
christian,characteristic of christian people ,of  .   concerning  .   or coming from the person  .   actions  .   or words of jesus christ  .   or the religion based on his teachings .  
christian,characteristic of christian people ,of  .   concerning  .   or coming from the person  .   actions  .   or words of jesus christ  .   or the religion based on his teachings .  
christianity,the religion of christians ;  the system of doctrines and precepts taught by christ . ,the christian religion  .   including its many separate branches .  
christianity,the religion of christians ;  the system of doctrines and precepts taught by christ . ,the christian religion  .   including its many separate branches .  
christmas,an annual church festival  and in some states a legal holiday  in memory of the birth of christ often celebrated by a particular church service and also by special gifts greetings and hospitality . ,december   .   a christian holiday that celebrates the birth of jesus christ .  
christmas,an annual church festival  and in some states a legal holiday  in memory of the birth of christ often celebrated by a particular church service and also by special gifts greetings and hospitality . ,december   .   a christian holiday that celebrates the birth of jesus christ .  
chromatic,relating to color  or to colors . ,having to do with color or colors .  
chromatic,relating to color  or to colors . ,having to do with color or colors .  
chromium,a comparatively rare element occurring most abundantly in the mineral chromite .  atomic weight  .  .  symbol cr .  when isolated it is a hard  brittle grayish white metal fusible with difficulty .  its chief commercial importance is for its compounds as potassium chromate lead chromate etc .  which are brilliantly colored and are used dyeing and calico printing .  called also chrome . ,a shiny  .   silver gray metal that is one of the chemical elements .  chromium does not rust easily .  it is used on surfaces  .   such as the metal trim on cars  .   because it stays shiny .  it can be combined with other metals to form alloys .  
chromium,a comparatively rare element occurring most abundantly in the mineral chromite .  atomic weight  .  .  symbol cr .  when isolated it is a hard  brittle grayish white metal fusible with difficulty .  its chief commercial importance is for its compounds as potassium chromate lead chromate etc .  which are brilliantly colored and are used dyeing and calico printing .  called also chrome . ,a shiny  .   silver gray metal that is one of the chemical elements .  chromium does not rust easily .  it is used on surfaces  .   such as the metal trim on cars  .   because it stays shiny .  it can be combined with other metals to form alloys .  
chromosome,  the idant of weismann . ,a part found in the cells of all plants and animals .  chromosomes contain genes which pass on physical characteristics from parent to offspring . 
chromosome,  the idant of weismann . ,a part found in the cells of all plants and animals .  chromosomes contain genes which pass on physical characteristics from parent to offspring . 
chronic,relating to time ;  according to time . ,tending to a certain behavior or illness over a long time or without stopping .  
chronic,relating to time ;  according to time . ,tending to a certain behavior or illness over a long time or without stopping .  
chronological,  according to the order of time ,according to the order in which things happen . 
chronological,  according to the order of time ,according to the order in which things happen . 
chrysalis,the pupa state of certain insects  esp .  of butterflies from which the perfect insect emerges .  see pupa and aurelia  . ,the hard outside covering on a moth or butterfly while it is a pupa  .   the stage before it becomes an adult with wings .  many kinds of moths and butterflies make a chrysalis instead of a cocoon .  chrysalis is also sometimes used as another name for the pupa itself . 
chrysalis,the pupa state of certain insects  esp .  of butterflies from which the perfect insect emerges .  see pupa and aurelia  . ,the hard outside covering on a moth or butterfly while it is a pupa  .   the stage before it becomes an adult with wings .  many kinds of moths and butterflies make a chrysalis instead of a cocoon .  chrysalis is also sometimes used as another name for the pupa itself . 
chrysanthemum,a genus of composite plants  mostly perennial and of many species including the many varieties of garden chrysanthemums  and also the feverfew and the oxeye daisy . ,a type of plant grown for its flowers that bloom in autumn .  some species are grown for a compound that kills insects on crop plants .  
chrysanthemum,a genus of composite plants  mostly perennial and of many species including the many varieties of garden chrysanthemums  and also the feverfew and the oxeye daisy . ,a type of plant grown for its flowers that bloom in autumn .  some species are grown for a compound that kills insects on crop plants .  
chubby,like a chub ;  plump  short and thick . ,plump and round . 
chubby,like a chub ;  plump  short and thick . ,plump and round . 
chuck,  jackstones . ,to touch or pat lightly with affection .  
chuck,  jackstones . ,to touch or pat lightly with affection .  
chuckle,to fondle ;  to cocker . ,to laugh softly or in a quiet manner .  
chuckle,to fondle ;  to cocker . ,to laugh softly or in a quiet manner .  
chum,  an old and intimate friend . , a close friend ;  pal . 
chum,  an old and intimate friend . ,  pal . 
chum,  an old and intimate friend . , a close friend 
chum,  an old and intimate friend . ,  pal . 
chum,  an old and intimate friend . , a close friend ;  pal . 
chum,  an old and intimate friend . , a close friend 
chunk,a short  thick piece of anything . ,a thick lump or piece of any material . 
chunk,a short  thick piece of anything . ,a thick lump or piece of any material . 
church,  as  the jewish church ,a building used for public christian religious services .  
church,  as  the jewish church ,a building used for public christian religious services .  
churn,a vessel in which milk or cream is stirred  beaten or otherwise agitated  in order to separate the oily globules from the other parts and obtain butter . ,a container in which cream or milk is beaten or shaken to form butter .  
churn,a vessel in which milk or cream is stirred  beaten or otherwise agitated  in order to separate the oily globules from the other parts and obtain butter . ,a container in which cream or milk is beaten or shaken to form butter .  
chute,a framework  trough or tube upon or through which objects are made to slide from a higher to a lower level or through which water passes to a wheel . ,a passage down which things may slide in order to be moved from one area to another . 
chute,a framework  trough or tube upon or through which objects are made to slide from a higher to a lower level or through which water passes to a wheel . ,a passage down which things may slide in order to be moved from one area to another . 
cicada,any species of the genus cicada .  they are large hemipterous insects  with nearly transparent wings .  the male makes a shrill sound by peculiar organs in the under side of the abdomen consisting of a pair of stretched membranes acted upon by powerful muscles .  a noted american species  is called the seventeen year locust .  another common species is the dogday cicada . ,a large insect with a stout body and two pairs of thin  .   clear wings .  the male cicada makes a loud  .   shrill noise . 
cicada,any species of the genus cicada .  they are large hemipterous insects  with nearly transparent wings .  the male makes a shrill sound by peculiar organs in the under side of the abdomen consisting of a pair of stretched membranes acted upon by powerful muscles .  a noted american species  is called the seventeen year locust .  another common species is the dogday cicada . ,a large insect with a stout body and two pairs of thin  .   clear wings .  the male cicada makes a loud  .   shrill noise . 
cider,the expressed juice of apples .  it is used as a beverage  for making vinegar and for other purposes . ,the juice pressed out of apples  .   used for drinking . 
cider,the expressed juice of apples .  it is used as a beverage  for making vinegar and for other purposes . ,the juice pressed out of apples  .   used for drinking . 
cigar,a small roll of tobacco  used for smoking . ,a thin  .   tight roll of tobacco leaves prepared for smoking . 
cigar,a small roll of tobacco  used for smoking . ,a thin  .   tight roll of tobacco leaves prepared for smoking . 
cigarette,a little cigar ;  a little fine tobacco rolled in paper for smoking . ,a short  .   narrow tube of thin paper that contains cut tobacco for smoking . 
cigarette,a little cigar ;  a little fine tobacco rolled in paper for smoking . ,a short  .   narrow tube of thin paper that contains cut tobacco for smoking . 
cinder,partly burned or vitrified coal  or other combustible in which fire is extinct . ,a small piece of partly burned wood or coal that can continue to burn but without a flame . 
cinder,partly burned or vitrified coal  or other combustible in which fire is extinct . ,a small piece of partly burned wood or coal that can continue to burn but without a flame . 
cinnamon,the inner bark of the shoots of cinnamomum zeylanicum  a tree growing in ceylon .  it is aromatic of a moderately pungent taste and is one of the best cordial carminative and restorative spices . ,a spice made from the dried bark of a tropical asian tree .  
cinnamon,the inner bark of the shoots of cinnamomum zeylanicum  a tree growing in ceylon .  it is aromatic of a moderately pungent taste and is one of the best cordial carminative and restorative spices . ,a spice made from the dried bark of a tropical asian tree .  
circle,compass ,a closed curve made up of points that are all the same distance from a fixed center point .  
circle,compass ,a closed curve made up of points that are all the same distance from a fixed center point .  
circuit,a district in which an itinerant preacher labors . ,a line or route around an area .  
circuit,a district in which an itinerant preacher labors . ,a line or route around an area .  
circular,  hence  mean ,having the shape of a circle ;  round .  
circular,  hence  mean ,having the shape of a circle 
circular,  hence  mean ,  round .  
circulate,  to circulate bills of credit . ,to move or flow along a closed path or system .  
circulate,  to circulate bills of credit . ,to move or flow along a closed path or system .  
circulation,the act of passing from place to place or person to person ;  free diffusion ;  transmission . ,the movement or passage of something  .   such as money or news  .   from person to person or place to place .  
circulation,the act of passing from place to place or person to person ;  free diffusion ;  transmission . ,the movement or passage of something  .   such as money or news  .   from person to person or place to place .  
circulatory,circular ;  as  a circulatory letter . ,of or pertaining to the circulatory system  .   the system of bodily organs  .   including the heart  .   arteries  .   and veins  .   that send blood and lymph throughout the body and return it to the heart . 
circulatory,circular ;  as  a circulatory letter . ,of or pertaining to the circulatory system  .   the system of bodily organs  .   including the heart  .   arteries  .   and veins  .   that send blood and lymph throughout the body and return it to the heart . 
circumference,the line that goes round or encompasses a circular figure ;  a periphery . ,the line that forms the outside edge of a circle or other round figure or area .  
circumference,the line that goes round or encompasses a circular figure ;  a periphery . ,the line that forms the outside edge of a circle or other round figure or area .  
circumference,the line that goes round or encompasses a circular figure ;  a periphery . ,the line that forms the outside edge of a circle or other round figure or area .  
circumference,the line that goes round or encompasses a circular figure ;  a periphery . ,the line that forms the outside edge of a circle or other round figure or area .  
circumstance,  to supply relative incidents . ,a condition or fact connected with or having an effect on an event or situation . 
circumstance,  to supply relative incidents . ,a condition or fact connected with or having an effect on an event or situation . 
circus,a level oblong space surrounded on three sides by seats of wood  earth or stone rising in tiers one above another and divided lengthwise through the middle by a barrier around which the track or course was laid out .  it was used for chariot races games and public shows . ,a traveling show with clowns  .   acrobats  .   and other acts .  some circuses have trained animals also .  
circus,a level oblong space surrounded on three sides by seats of wood  earth or stone rising in tiers one above another and divided lengthwise through the middle by a barrier around which the track or course was laid out .  it was used for chariot races games and public shows . ,a traveling show with clowns  .   acrobats  .   and other acts .  some circuses have trained animals also .  
cirrus,a soft tactile appendage of the mantle of many mollusca  and of the parapodia of annelida .  those near the head of annelids are tentacular cirri ,a type of cloud that usually appears in the form of strings or threads . 
cirrus,a soft tactile appendage of the mantle of many mollusca  and of the parapodia of annelida .  those near the head of annelids are tentacular cirri ,a type of cloud that usually appears in the form of strings or threads . 
cite,to call upon officially or authoritatively to appear  as before a court ;  to summon . ,  quote . 
cite,to call upon officially or authoritatively to appear  as before a court ;  to summon . ,to use the words of someone else ;  quote . 
cite,to call upon officially or authoritatively to appear  as before a court ;  to summon . ,to use the words of someone else 
citizen,an inhabitant of a city ,a person who is a member of a country either because of being born there or being declared a member by law .  
citizen,an inhabitant of a city ,a person who is a member of a country either because of being born there or being declared a member by law .  
citizenship,the state of being a citizen ,the state of being a citizen .  
citizenship,the state of being a citizen ,the state of being a citizen .  
citrus,a genus of trees including the orange  lemon citron etc .  originally natives of southern asia . ,a type of tree grown for their juicy fruit  .   such as the orange  .   lemon  .   and grapefruit .  
citrus,a genus of trees including the orange  lemon citron etc .  originally natives of southern asia . ,a type of tree grown for their juicy fruit  .   such as the orange  .   lemon  .   and grapefruit .  
city,of or pertaining to a city . ,a large and important town where many people live and work .  
city,of or pertaining to a city . ,a large and important town where many people live and work .  
civic,  relating to man as a member of society or to civil affairs . ,of or having to do with a city .  
civic,  relating to man as a member of society or to civil affairs . ,of or having to do with a city .  
civics,the science of civil government . ,the study of the rights and duties of citizens in relation to how the government works . 
civics,the science of civil government . ,the study of the rights and duties of citizens in relation to how the government works . 
civil,  courteous ,having to do with citizens or the general population .  
civil,  courteous ,having to do with citizens or the general population .  
civilian,a student of the civil law at a university or college . ,a person who is not serving in the armed forces or the police .  
civilian,a student of the civil law at a university or college . ,a person who is not serving in the armed forces or the police .  
civilization,rendering a criminal process civil . ,an advanced state of development of a society as judged by such things as having a system of government and laws  .   using a written language  .   and keeping written records .  
civilization,rendering a criminal process civil . ,an advanced state of development of a society as judged by such things as having a system of government and laws  .   using a written language  .   and keeping written records .  
civilize,  to instruct in the rules and customs of civilization ,to bring education and training to  .   especially in the arts  .   science  .   and government . 
civilize,  to instruct in the rules and customs of civilization ,to bring education and training to  .   especially in the arts  .   science  .   and government . 
civilized,reclaimed from savage life and manners ,having a high level of culture  .   education  .   legal sophistication  .   or knowledge . 
civilized,reclaimed from savage life and manners ,having a high level of culture  .   education  .   legal sophistication  .   or knowledge . 
clad,of clothe,a past tense and past participle of clothe . 
clad,of clothe,a past tense and past participle of clothe . 
clad,of clothe,to join a metal to another metal in order to make it stronger or protect it . 
clad,of clothe,a past tense and past participle of clothe . 
clad,of clothe,to join a metal to another metal in order to make it stronger or protect it . 
clad,of clothe,a past tense and past participle of clothe . 
claim,  to deduce a right or title ,to state or demand as ones right .  
claim,  to deduce a right or title ,to state or demand as ones right .  
clam,to be moist or glutinous ,an animal with a soft body and a hard shell made of two hinged pieces that open and close .  many kinds of clams live in the ocean and in fresh water .  people eat some kinds of clams .  clams are mollusks .  
clam,to be moist or glutinous ,an animal with a soft body and a hard shell made of two hinged pieces that open and close .  many kinds of clams live in the ocean and in fresh water .  people eat some kinds of clams .  clams are mollusks .  
clambake,the backing or steaming of clams on heated stones  between layers of seaweed ,a picnic or party on the beach at which clams and other foods are cooked .  the food is usually baked or steamed on heated rocks covered with a layer of seaweed . 
clambake,the backing or steaming of clams on heated stones  between layers of seaweed ,a picnic or party on the beach at which clams and other foods are cooked .  the food is usually baked or steamed on heated rocks covered with a layer of seaweed . 
clamber,to climb with difficulty  or with hands and feet ,to climb with difficulty or in an awkward way  .   using hands and feet . 
clamber,to climb with difficulty  or with hands and feet ,to climb with difficulty or in an awkward way  .   using hands and feet . 
clamor,a great outcry or vociferation ,a loud noise that goes on for sometime .  
clamor,a great outcry or vociferation ,a loud noise that goes on for sometime .  
clamp,a thick plank on the inner part of a ships side  used to sustain the ends of beams . ,a device used to fasten  .   support  .   or press together two or more objects or pieces .  
clamp,a thick plank on the inner part of a ships side  used to sustain the ends of beams . ,a device used to fasten  .   support  .   or press together two or more objects or pieces .  
clan,a tribe or collection of families  united under a chieftain regarded as having the same common ancestor and bearing the same surname ;  as the clan of macdonald . ,a group among the scottish people that is made up of families with a common ancestor .  
clan,a tribe or collection of families  united under a chieftain regarded as having the same common ancestor and bearing the same surname ;  as the clan of macdonald . ,a group among the scottish people that is made up of families with a common ancestor .  
clang,to give out a clang ;  to resound . ,to make a clear  .   loud sound or ring  .   such as that made when two heavy metal objects are struck together .  
clang,to give out a clang ;  to resound . ,to make a clear  .   loud sound or ring  .   such as that made when two heavy metal objects are struck together .  
clank,to sound with a clank . ,a short sound  .   as of metal being struck  .   that does not ring .  
clank,to sound with a clank . ,a short sound  .   as of metal being struck  .   that does not ring .  
clap,  a bang . ,to strike together  .   making a sharp  .   short sound .  
clap,  a bang . ,to strike together  .   making a sharp  .   short sound .  
clarify,to grow or become clear or transparent ;  to become free from feculent impurities  as wine or other liquid under clarification . ,to make easier to understand 
clarify,to grow or become clear or transparent ;  to become free from feculent impurities  as wine or other liquid under clarification . ,to make easier to understand ;  make clear . 
clarify,to grow or become clear or transparent ;  to become free from feculent impurities  as wine or other liquid under clarification . ,  make clear . 
clarinet,a wind instrument  blown by a single reed of richer and fuller tone than the oboe which has a double reed .  it is the leading instrument in a military band . ,a woodwind instrument with a reed mouthpiece attached to a long tube with finger holes and keys along its length . 
clarinet,a wind instrument  blown by a single reed of richer and fuller tone than the oboe which has a double reed .  it is the leading instrument in a military band . ,a woodwind instrument with a reed mouthpiece attached to a long tube with finger holes and keys along its length . 
clarity,  splendor . ,the state or condition of being clear or being understood .  
clarity,  splendor . ,the state or condition of being clear or being understood .  
clash,  a noisy collision of bodies ,to strike together with force  .   making a loud noise .  
clash,  a noisy collision of bodies ,to strike together with force  .   making a loud noise .  
clasp,a close embrace ;  a throwing of the arms around ;  a grasping  as with the hand . ,a device with two parts that fit together  .   used to fasten something .  
clasp,a close embrace ;  a throwing of the arms around ;  a grasping  as with the hand . ,a device with two parts that fit together  .   used to fasten something .  
class,to divide into classes  as students ,a group of people or things that are similar in certain ways .  
class,to divide into classes  as students ,a group of people or things that are similar in certain ways .  
classic,alt .  of classical,something that remains popular over a long period of time .  
classic,alt .  of classical,something that remains popular over a long period of time .  
classic,alt .  of classical,something that remains popular over a long period of time .  
classic,alt .  of classical,something that remains popular over a long period of time .  
classical,of or pertaining to the ancient greeks and romans  esp .  to greek or roman authors of the highest rank or of the period when their best literature was produced ;  of or pertaining to places inhabited by the ancient greeks and romans or rendered famous by their deeds . ,having to do with ancient greek and roman culture .  
classical,of or pertaining to the ancient greeks and romans  esp .  to greek or roman authors of the highest rank or of the period when their best literature was produced ;  of or pertaining to places inhabited by the ancient greeks and romans or rendered famous by their deeds . ,having to do with ancient greek and roman culture .  
classify,to distribute into classes ;  to arrange according to a system ;  to arrange in sets according to some method founded on common properties or characters . ,to group or order in classes .  
classify,to distribute into classes ;  to arrange according to a system ;  to arrange in sets according to some method founded on common properties or characters . ,to group or order in classes .  
classmate,one who is in the same class with another  as at school or college . ,a person in the same class as another at a college or school . 
classmate,one who is in the same class with another  as at school or college . ,a person in the same class as another at a college or school . 
clatter,to make a rattling sound by striking hard bodies together ,to make a loud rattling noise .  
clatter,to make a rattling sound by striking hard bodies together ,to make a loud rattling noise .  
clause,see letters clause  close  under letter . ,a group of words that has a subject and a verb .  clauses can be part or all of a sentence .  
clause,see letters clause  close  under letter . ,a group of words that has a subject and a verb .  clauses can be part or all of a sentence .  
claw,  hence to flatter ,a thin  .   sharp  .   curved nail on the foot of an animal .  
claw,  hence to flatter ,a thin  .   sharp  .   curved nail on the foot of an animal .  
clay,to clarify by filtering through clay  as sugar . ,moist  .   stiff earth that is used for making brick  .   pottery  .   and tile . 
clay,to clarify by filtering through clay  as sugar . ,moist  .   stiff earth that is used for making brick  .   pottery  .   and tile . 
clean,  to purify ,not dirty or stained .  
clean,  to purify ,not dirty or stained .  
cleaner,one who  or that which cleans . ,a person or thing that cleans .  
cleaner,one who  or that which cleans . ,a person or thing that cleans .  
cleaning,the afterbirth of cows  ewes etc . ,clothing that is taken to a dry cleaning store instead of being washed at home . 
cleaning,the afterbirth of cows  ewes etc . ,clothing that is taken to a dry cleaning store instead of being washed at home . 
cleanliness,state of being cleanly ,the condition of being clean  .   or not dirty ;  the habit of always keeping clean . 
cleanliness,state of being cleanly ,the condition of being clean  .   or not dirty 
cleanliness,state of being cleanly ,  the habit of always keeping clean . 
cleanse,  to free from fith  pollution infection guilt etc .  ,to make clean ;  remove dirt from . 
cleanse,  to free from fith  pollution infection guilt etc .  ,to make clean 
cleanse,  to free from fith  pollution infection guilt etc .  ,  remove dirt from . 
cleanser,one who  or that which cleanses ,a liquid or powder used for cleaning . 
cleanser,one who  or that which cleanses ,a liquid or powder used for cleaning . 
clear,     often followed by up  off or away . ,free of darkness  .   clouds  .   or haze .  
clear,     often followed by up  off or away . ,free of darkness  .   clouds  .   or haze .  
clearance,clear or net profit . ,the space between things that keeps them from striking against each other .  
clearance,clear or net profit . ,the space between things that keeps them from striking against each other .  
clearing,the gross amount of the balances adjusted in the clearing house . ,an open piece of land that has no trees or bushes . 
clearing,the gross amount of the balances adjusted in the clearing house . ,an open piece of land that has no trees or bushes . 
clearly,in a clear manner . ,in a clear manner .  
clearly,in a clear manner . ,in a clear manner .  
clearly,in a clear manner . ,in a clear manner .  
clearly,in a clear manner . ,in a clear manner .  
cleaver,one who cleaves  or that which cleaves ,a heavy tool with a wide blade used especially by butchers for cutting meat . 
cleaver,one who cleaves  or that which cleaves ,a heavy tool with a wide blade used especially by butchers for cutting meat . 
clef,a character used in musical notation to determine the position and pitch of the scale as represented on the staff . ,one of the signs placed on a musical staff .  they show the pitch at which the note should be played . 
clef,a character used in musical notation to determine the position and pitch of the scale as represented on the staff . ,one of the signs placed on a musical staff .  they show the pitch at which the note should be played . 
cleft,a piece made by splitting ;  as  a cleft of wood . ,split 
cleft,a piece made by splitting ;  as  a cleft of wood . ,split ;  divided .  
cleft,a piece made by splitting ;  as  a cleft of wood . ,  divided .  
clench,see clinch . ,to close tightly shut .  
clench,see clinch . ,to close tightly shut .  
clergy,the privilege or benefit of clergy . ,the group of people who have the authority to lead religious services  .   such as ministers  .   priests  .   and rabbis . 
clergy,the privilege or benefit of clergy . ,the group of people who have the authority to lead religious services  .   such as ministers  .   priests  .   and rabbis . 
clergyman,an ordained minister ,a member of the clergy . 
clergyman,an ordained minister ,a member of the clergy . 
clerk,  as  the clerk of a court ,a person who does office work  .   such as keeping records  .   finding information  .   filing  .   and making copies .  
clerk,  as  the clerk of a court ,a person who does office work  .   such as keeping records  .   finding information  .   filing  .   and making copies .  
clever,good natured ,having a bright  .   sharp  .   and quick mind ;  intelligent .  
clever,good natured ,  intelligent .  
clever,good natured ,having a bright  .   sharp  .   and quick mind 
click,  to tick . ,a slight  .   sharp sound .  
click,  to tick . ,a slight  .   sharp sound .  
client,a dependent ,one who pays for the services of another . 
client,a dependent ,one who pays for the services of another . 
cliff,a high  steep rock ;  a precipice . ,a high  .   steep face of rock or earth . 
cliff,a high  steep rock ;  a precipice . ,a high  .   steep face of rock or earth . 
climate,one of thirty regions or zones  parallel to the equator into which the surface of the earth from the equator to the pole was divided according to the successive increase of the length of the midsummer day . ,the usual weather conditions in a place . 
climate,one of thirty regions or zones  parallel to the equator into which the surface of the earth from the equator to the pole was divided according to the successive increase of the length of the midsummer day . ,the usual weather conditions in a place . 
climax,upward movement ,the most exciting or interesting point in a series of events .  
climax,upward movement ,the most exciting or interesting point in a series of events .  
climb,to ascend  as by means of the hands and feet or laboriously or slowly ,  rise .  
climb,to ascend  as by means of the hands and feet or laboriously or slowly ,  go towards the top 
climb,to ascend  as by means of the hands and feet or laboriously or slowly ,to move upward 
climb,to ascend  as by means of the hands and feet or laboriously or slowly ,to move upward ;  go towards the top ;  rise .  
climber,one who  or that which climbs,a person or animal that climbs . 
climber,one who  or that which climbs,a person or animal that climbs . 
clinch,to make conclusive ;  to confirm ;  to establish ;  as  to clinch an argument . ,  settle . 
clinch,to make conclusive ;  to confirm ;  to establish ;  as  to clinch an argument . ,to make certain or final 
clinch,to make conclusive ;  to confirm ;  to establish ;  as  to clinch an argument . ,to make certain or final ;  settle . 
cling,to adhere closely ;  to stick ;  to hold fast  especially by twining round or embracing ;  as the tendril of a vine clings to its support ;     usually followed by to or together . ,to stick closely .  
cling,to adhere closely ;  to stick ;  to hold fast  especially by twining round or embracing ;  as the tendril of a vine clings to its support ;     usually followed by to or together . ,to stick closely .  
clinic,of or pertaining to a bed  especially a sick bed . ,a place that gives medical treatment  .   usually to people who do not need to stay in a hospital overnight . 
clinic,of or pertaining to a bed  especially a sick bed . ,a place that gives medical treatment  .   usually to people who do not need to stay in a hospital overnight . 
clink,to rhyme .   . ,to make or cause to make a short  .   sharp  .   ringing sound .  
